"Età  x","Sopravviventi  lx","Decessi  dx","Probabilità di morte (per mille)  qx","Anni vissuti  Lx","Probabilità prospettive di sopravvivenza  Px","Speranza di vita  ex","Note"
"109","9","5","628.43064","6","0.3635353","1.054","s"
"110","3","2","658.08679","2","0.3346524","0.990","s"
"111","1","1","686.58337","1","0.3069235","0.933","s"
"112","0","0","713.79363","0","0.2804584","0.883","s"
"113","0","0","739.62485","0","0.2553355","0.838","s"
"114","0","0","764.01995","0","0.2316013","0.798","s"
"115","0","0","786.95429","0","0.2092737","0.762","s"
"116","0","0","808.43157","0","0.1883460","0.730","s"
"117","0","0","828.47509","0","0.1688149","0.702","s"
"118","0","0","846.98457","0","0.1507044","0.677","s"
"119","0","0","864.39860","0","0.1336726","0.654","s"
